.structStaticCharacterROMEntry 1,.structDynamicCharacterROMEntry,.structEnemyCharacterROMEntry,Type,HP,STR,MAG,SKL,SPD,DEF,RES,LUK,Class,Level,LeadershipStars,Money,ID,Name,GenerationID,Gender,Unknown,HPGrowth,STRGrowth,MAGGrowth,SKLGrowth,SPDGrowth,DEFGrowth,RESGrowth,LUKGrowth,Skills1,Skills2,Skills3,Ancestry1,Ancestry2,Equipment1,Equipment2,UniqueEquipment,Influence
,,IsaachArmy2,UnitTypeEnemy,,,,,,,,,AxeKnight,7,0,,$010D,IsaachArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,SofalaArmy2,UnitTypeEnemy,,,,,,,,,AxeFighter,7,0,,$010E,SofalaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Schmidt,UnitTypeEnemy,,,,,,,,,GreatKnight,20,3,,$010F,SchmidtName,,Genderless,$FF,,,,,,,,,,,,,,BraveAxe,NoItem,PI_BraveAxe,
,,RibautArmy,UnitTypeEnemy,,,,,,,,,AxeKnight,12,0,,$0110,RibautArmyName,,Genderless,$FF,,,,,,,,,,,,,,HandAxe,NoItem,NoItem,
Danann,,,UnitTypeHoly,60,9,3,7,6,8,3,0,Baron,25,4,1,$0111,DanannName,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,PrimaryNalAncestry,None,SilverAxe,NoItem,PI_ThiefSword,
,,GaneshaArmy3,UnitTypeEnemy,,,,,,,,,AxeArmor,5,0,,$0112,GaneshaArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,GaneshaArmy4,UnitTypeEnemy,,,,,,,,,BowArmor,5,0,,$0113,GaneshaArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Kutuzov1,UnitTypeEnemy,,,,,,,,,DarkBishop,20,1,,$0114,Kutuzov1Name,,Genderless,$01,,,,,,,,,,,,,,Jormungandr,NoItem,PI_BargainBracelet,
,,AedMage1,UnitTypeEnemy,,,,,,,,,DarkMage,7,0,,$0115,AedMage1Name,,Genderless,$FF,,,,,,,,,,,,,,Jormungandr,NoItem,NoItem,
,,AedMage2,UnitTypeEnemy,,,,,,,,,DarkMage,4,1,,$0116,AedMage2Name,,Genderless,$FF,,,,,,,,,,,,,,Jormungandr,NoItem,NoItem,
,,Mercenary7,UnitTypeEnemy,,,,,,,,,SwordFighter,12,0,,$0117,Mercenary7Name,,Genderless,$FF,,,,,,,,,,,,,,SilverSword,NoItem,NoItem,
,,AedMage3,UnitTypeEnemy,,,,,,,,,DarkMage,1,0,,$0118,AedMage3Name,,Genderless,$FF,,,,,,,,,,,,,,Jormungandr,NoItem,NoItem,
,,Commander23,UnitTypeEnemy,,,,,,,,,General,12,1,,$0119,Commander23Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,UlsterArmy1,UnitTypeEnemy,,,,,,,,,SwordArmor,5,0,,$011A,UlsterArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,UlsterArmy2,UnitTypeEnemy,,,,,,,,,ThunderMage,7,0,,$011B,UlsterArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,Bandit5,UnitTypeEnemy,,,,,,,,,Brigand,8,1,,$011C,Bandit5Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
Bloom,,,UnitTypeHoly,65,9,9,8,7,9,9,3,Baron,25,4,5,$011D,Bloom1Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,None,PrimaryThrudAncestry,Mjolnir,NoItem,PI_SilverBlade1,
,,UlsterArmy3,UnitTypeEnemy,,,,,,,,,General,15,0,,$011E,UlsterArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBlade,SteelBow,NoItem,
,,DahnaArmy1,UnitTypeEnemy,,,,,,,,,SwordFighter,5,1,,$011F,DahnaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBlade,NoItem,NoItem,
Ishtore,,,UnitTypeHoly,50,7,7,8,8,7,7,9,MageFighter,20,3,1,$0120,IshtoreName,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,None,SecondaryThrudAncestry,Bolting,Thoron,PI_Thoron,
,,MergenArmy1,UnitTypeEnemy,,,,,,,,,ThunderMage,6,0,,$0121,MergenArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,Raisa,UnitTypeEnemy,,,,,,,,,ThunderMage,20,4,,$0122,RaisaName,,GenderFemale,$02,,,,,,,,,,,,,,Elthunder,ShieldRing,PI_MagicRing1,
,,MergenArmy2,UnitTypeEnemy,,,,,,,,,ThunderMage,10,0,,$0123,MergenArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,MergenArmy3,UnitTypeEnemy,,,,,,,,,LanceArmor,10,0,,$0124,MergenArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,NoItem,NoItem,
,,MergenArmy4,UnitTypeEnemy,,,,,,,,,ThunderMage,10,0,,$0125,MergenArmy4Name,,GenderMale,$FF,,,,,,,,,,,,,,Thunder,NoItem,NoItem,
,,MergenArmy5,UnitTypeEnemy,,,,,,,,,Priest,10,0,,$0126,MergenArmy5Name,,GenderFemale,$FF,,,,,,,,,,,,,,PhysicStaff,NoItem,NoItem,
,,MergenArmy6,UnitTypeEnemy,,,,,,,,,Ballistician,10,0,,$0127,MergenArmy6Name,,Genderless,$FF,,,,,,,,,,,,,,Ballista,NoItem,NoItem,
,,MergenArmy7,UnitTypeEnemy,,,,,,,,,BowArmor,10,0,,$0128,MergenArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Javarro,UnitTypeEnemy,,,,,,,,,Ranger,20,3,,$0129,JavarroName,,Genderless,$02,,,,,,,,,,,,,,SilverSword,NoItem,PI_SkillRing1,
,,Mercenary8,UnitTypeEnemy,,,,,,,,,FreeKnight,13,0,,$012A,Mercenary8Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,Mercenary9,UnitTypeEnemy,,,,,,,,,ArcherKnight,13,0,,$012B,Mercenary9Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Bramsel,UnitTypeEnemy,,,,,,,,,General,16,1,,$012C,BramselName,,Genderless,$01,,,,,,,,,,,,,,Ridersbane,NoItem,PI_Ridersbane,
,,DahnaArmy2,UnitTypeEnemy,,,,,,,,,SwordFighter,12,0,,$012D,DahnaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBlade,NoItem,NoItem,
,,Commander24,UnitTypeEnemy,,,,,,,,,General,24,1,,$012E,Commander24Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,UlsterArmy4,UnitTypeEnemy,,,,,,,,,SwordArmor,10,0,,$012F,UlsterArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,SteelSword,NoItem,NoItem,
,,UlsterArmy5,UnitTypeEnemy,,,,,,,,,ThunderMage,10,0,,$0130,UlsterArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
Banba1,,,UnitTypeHoly,52,3,6,10,10,10,10,7,FireMage,22,3,1,$0131,Banba1Name,$82,GenderFemale,$00,0,0,0,0,0,0,0,0,None,None,None,None,None,Elfire,HealBracelet,NoItem,
Fodla1,,,UnitTypeHoly,52,3,6,10,10,10,10,7,WindMage,22,3,1,$0132,Fodla1Name,$83,GenderFemale,$00,0,0,0,0,0,0,0,0,None,None,None,None,None,Elwind,HealBracelet,NoItem,
Eriu1,,,UnitTypeHoly,52,3,6,10,10,10,10,7,ThunderMage,22,3,1,$0133,Eriu1Name,$84,GenderFemale,$00,0,0,0,0,0,0,0,0,None,None,None,None,None,Elthunder,HealBracelet,NoItem,
,,HighMage1,UnitTypeEnemy,,,,,,,,,ThunderMage,12,0,,$0134,HighMage1Name,,Genderless,$FF,,,,,,,,,,,,,,Thunder,NoItem,NoItem,
,,HighMage2,UnitTypeEnemy,,,,,,,,,FireMage,12,0,,$0135,HighMage2Name,,Genderless,$FF,,,,,,,,,,,,,,Elfire,NoItem,NoItem,
,,HighMage3,UnitTypeEnemy,,,,,,,,,ThunderMage,12,0,,$0136,HighMage3Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,Muhammad,UnitTypeEnemy,,,,,,,,,General,25,2,,$0137,MuhammadName,,Genderless,$FF,,,,,,,,,,,,,,BraveLance,BraveBow,PI_BraveLance,
,,ConnachtArmy1,UnitTypeEnemy,,,,,,,,,ThunderMage,18,0,,$0138,ConnachtArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,NoItem,NoItem,
,,ConnachtArmy2,UnitTypeEnemy,,,,,,,,,LanceArmor,18,0,,$0139,ConnachtArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,NoItem,NoItem,
,,ConnachtArmy3,UnitTypeEnemy,,,,,,,,,BowArmor,18,0,,$013A,ConnachtArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBow,NoItem,NoItem,
,,Bishop1,UnitTypeEnemy,,,,,,,,,Bishop,22,0,,$013B,BishopName,,Genderless,$FF,,,,,,,,,,,,,,Fortify,NoItem,NoItem,
,,Ovo,UnitTypeEnemy,,,,,,,,,MageKnight,22,2,,$013C,OvoName,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,ShieldRing,PI_ShieldRing1,
,,ConnachtArmy4,UnitTypeEnemy,,,,,,,,,LanceKnight,18,0,,$013D,ConnachtArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,ConnachtArmy5,UnitTypeEnemy,,,,,,,,,Troubadour,18,0,,$013E,ConnachtArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,SlimSword,MendStaff,NoItem,
,,Bandit6,UnitTypeEnemy,,,,,,,,,Brigand,15,1,,$013F,Bandit6Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Commander25,UnitTypeEnemy,,,,,,,,,ThunderMage,20,1,,$0140,Commander25Name,,GenderMale,$FF,,,,,,,,,,,,,,Bolting,Elthunder,NoItem,
,,ConnachtArmy6,UnitTypeEnemy,,,,,,,,,ThunderMage,18,0,,$0141,ConnachtArmy6Name,,GenderFemale,$FF,,,,,,,,,,,,,,Bolting,Elthunder,NoItem,
Ishtar,,,UnitTypeHoly,42,5,7,12,14,7,7,12,Sage,22,1,1,$0142,Ishtar1Name,$81,GenderFemale,$00,0,0,0,0,0,0,0,0,None,UnitSkill2Vantage,None,None,PrimaryThrudAncestry,Mjolnir,NoItem,NoItem,
,,Commander26,UnitTypeEnemy,,,,,,,,,General,25,1,,$0143,Commander26Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,BraveBow,PI_BraveBow,
,,ConnachtArmy7,UnitTypeEnemy,,,,,,,,,LanceArmor,18,0,,$0144,ConnachtArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
Bloom2,,,UnitTypeHoly,65,9,9,8,7,9,9,3,Baron,25,4,5,$0145,Bloom2Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,None,None,None,None,PrimaryThrudAncestry,Bolting,Thoron,NoItem,
,,ConnachtArmy8,UnitTypeEnemy,,,,,,,,,General,20,0,,$0146,ConnachtArmy8Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,SteelBow,NoItem,
,,Civilian3,UnitTypeEnemy,,,,,,,,,Civilian,3,0,,$0147,Civilian3Name,,Genderless,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Civilian4,UnitTypeEnemy,,,,,,,,,Civilian,3,0,,$0148,Civilian4Name,,GenderFemale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Commander27,UnitTypeEnemy,,,,,,,,,WyvernKnight,19,1,,$0149,Commander27Name,,Genderless,$FF,,,,,,,,,,,,,,SteelLance,SteelSword,NoItem,
,,ThraciaArmy3,UnitTypeEnemy,,,,,,,,,WyvernRider,16,0,,$014A,ThraciaArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,IronSword,NoItem,
,,Gortach,UnitTypeEnemy,,,,,,,,,WyvernKnight,19,0,,$014B,GortachName,,Genderless,$FF,,,,,,,,,,,,,,BraveSword,Javelin,PI_BraveSword1,
,,ThraciaArmy4,UnitTypeEnemy,,,,,,,,,WyvernRider,12,0,,$014C,ThraciaArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,IronLance,IronSword,NoItem,
,,Commander28,UnitTypeEnemy,,,,,,,,,WyvernKnight,19,1,,$014D,Commander28Name,,GenderFemale,$FF,,,,,,,,,,,,,,SteelLance,SteelSword,PI_PrayerSword,
,,ThraciaArmy5,UnitTypeEnemy,,,,,,,,,WyvernRider,16,0,,$014E,ThraciaArmy5Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,IronSword,NoItem,
,,Commander29,UnitTypeEnemy,,,,,,,,,IronBallistician,20,1,,$014F,Commander29Name,,Genderless,$FF,,,,,,,,,,,,,,IronBallista,NoItem,NoItem,
,,ThraciaArmy6,UnitTypeEnemy,,,,,,,,,Ballistician,16,0,,$0150,ThraciaArmy6Name,,Genderless,$FF,,,,,,,,,,,,,,Ballista,NoItem,NoItem,
,,Maykov,UnitTypeEnemy,,,,,,,,,General,24,1,,$0151,MaykovName,,Genderless,$01,,,,,,,,,,,,,,SilverLance,KillerBow,PI_KillerBow,
Banba2,,,UnitTypeHoly,52,3,6,10,10,10,10,7,FireMage,22,3,1,$0152,Banba2Name,$82,GenderFemale,$00,0,0,0,0,0,0,0,0,None,None,None,None,None,Elfire,LegRing,NoItem,
Fodla2,,,UnitTypeHoly,52,3,6,10,10,10,10,7,WindMage,22,3,1,$0153,Fodla2Name,$83,GenderFemale,$00,0,0,0,0,0,0,0,0,None,None,None,None,None,Elwind,LegRing,NoItem,
Eriu2,,,UnitTypeHoly,52,3,6,10,10,10,10,7,ThunderMage,22,3,1,$0154,Eriu2Name,$84,GenderFemale,$00,0,0,0,0,0,0,0,0,None,None,None,None,None,Elthunder,LegRing,NoItem,
,,CappadociaArmy1,UnitTypeEnemy,,,,,,,,,HighPriest,22,0,,$0155,CappadociaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Fortify,NoItem,PI_Fortify,
,,CappadociaArmy2,UnitTypeEnemy,,,,,,,,,LanceArmor,19,0,,$0156,CappadociaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,BraveLance,NoItem,NoItem,
,,CappadociaArmy3,UnitTypeEnemy,,,,,,,,,BowArmor,19,0,,$0157,CappadociaArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,BraveBow,NoItem,NoItem,
,,CappadociaArmy4,UnitTypeEnemy,,,,,,,,,SwordArmor,19,0,,$0158,CappadociaArmy4Name,,Genderless,$FF,,,,,,,,,,,,,,SleepSword,NoItem,NoItem,
,,ThraciaArmy7,UnitTypeEnemy,,,,,,,,,WyvernRider,12,0,,$0159,ThraciaArmy7Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,IronSword,NoItem,
,,ThraciaArmy8,UnitTypeEnemy,,,,,,,,,WyvernRider,12,0,,$015A,ThraciaArmy8Name,,Genderless,$FF,,,,,,,,,,,,,,SleepSword,NoItem,NoItem,
,,Bandit7,UnitTypeEnemy,,,,,,,,,Brigand,25,1,,$015B,Bandit7Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
,,Canut,UnitTypeEnemy,,,,,,,,,General,20,1,,$015C,CanutName,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,Javelin,NoItem,
,,Distler,UnitTypeEnemy,,,,,,,,,General,22,1,,$015D,DistlerName,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,Javelin,PI_ReturnRing2,
,,GalatiaArmy1,UnitTypeEnemy,,,,,,,,,LanceArmor,14,1,,$015E,GalatiaArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,Mercenary10,UnitTypeEnemy,,,,,,,,,Forester,20,1,,$015F,Mercenary10Name,,Genderless,$FF,,,,,,,,,,,,,,SteelBlade,FlameBrand,NoItem,
,,Mercenary11,UnitTypeEnemy,,,,,,,,,Forester,20,1,,$0160,Mercenary11Name,,GenderFemale,$FF,,,,,,,,,,,,,,SteelBlade,LevinSword,NoItem,
Travant2,,,UnitTypeHoly,65,12,4,12,11,12,6,6,WyvernLord,30,4,1,$0161,Travant2Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1Nihil,UnitSkill2Vantage,None,PrimaryDainnAncestry,None,SilverLance,PowerRing,PI_PowerRing1,
,,ThraciaArmy9,UnitTypeEnemy,,,,,,,,,WyvernKnight,20,0,,$0162,ThraciaArmy9Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,HealBracelet,NoItem,
,,Judas,UnitTypeEnemy,,,,,,,,,DarkBishop,22,1,,$0163,JudasName,,Genderless,$01,,,,,,,,,,,,,,Fenrir,Jormungandr,NoItem,
,,Commander30,UnitTypeEnemy,,,,,,,,,KillerBallistician,20,1,,$0164,Commander30Name,,Genderless,$FF,,,,,,,,,,,,,,KillerBallista,NoItem,NoItem,
,,GalatiaArmy2,UnitTypeEnemy,,,,,,,,,IronBallistician,18,0,,$0165,GalatiaArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,IronBallista,NoItem,NoItem,
Arion1,,,UnitTypeHoly,70,14,6,15,14,13,9,12,WyvernLord,27,5,5,$0166,Arion1Name,$82,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1Adept | UnitSkill1Nihil,None,None,PrimaryDainnAncestry,None,Gungnir,MiracleBracelet,PI_MiracleBracelet,
,,WyvernKnight1,UnitTypeEnemy,,,,,,,,,WyvernKnight,24,0,,$0167,WyvernKnight1Name,,Genderless,$FF,,,,,,,,,,,,,,SlimLance,NoItem,NoItem,
,,WyvernKnight2,UnitTypeEnemy,,,,,,,,,WyvernKnight,24,0,,$0168,WyvernKnight2Name,,Genderless,$FF,,,,,,,,,,,,,,SleepSword,NoItem,NoItem,
,,Commander31,UnitTypeEnemy,,,,,,,,,WyvernKnight,23,3,,$0169,Commander31Name,,Genderless,$FF,,,,,,,,,,,,,,BraveLance,NoItem,NoItem,
,,ThraciaArmy10,UnitTypeEnemy,,,,,,,,,WyvernRider,15,0,,$016A,ThraciaArmy10Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,Commander32,UnitTypeEnemy,,,,,,,,,WyvernKnight,23,3,,$016B,Commander32Name,,Genderless,$FF,,,,,,,,,,,,,,BraveLance,NoItem,NoItem,
,,ThraciaArmy11,UnitTypeEnemy,,,,,,,,,WyvernRider,15,0,,$016C,ThraciaArmy11Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
,,Commander33,UnitTypeEnemy,,,,,,,,,WyvernKnight,23,3,,$016D,Commander33Name,,Genderless,$FF,,,,,,,,,,,,,,BraveLance,NoItem,NoItem,
,,ThraciaArmy12,UnitTypeEnemy,,,,,,,,,WyvernRider,15,0,,$016E,ThraciaArmy12Name,,Genderless,$FF,,,,,,,,,,,,,,Javelin,NoItem,NoItem,
Mousa,,,UnitTypeHoly,65,6,13,9,13,12,12,7,MageKnight,30,3,1,$016F,MousaName,$82,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1FollowUp,None,None,None,SecondaryForsetiAncestry,Tornado,ShieldRing,PI_Tornado,
,,ImperialArmy1,UnitTypeEnemy,,,,,,,,,GreatKnight,20,0,,$0170,ImperialArmy1Name,,Genderless,$FF,,,,,,,,,,,,,,SilverAxe,NoItem,NoItem,
,,ImperialArmy2,UnitTypeEnemy,,,,,,,,,Banneret,20,0,,$0171,ImperialArmy2Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,NoItem,NoItem,
,,ImperialArmy3,UnitTypeEnemy,,,,,,,,,Ranger,20,0,,$0172,ImperialArmy3Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBlade,NoItem,NoItem,
,,ImperialArmy4,UnitTypeEnemy,,,,,,,,,PaladinF,20,0,,$0173,ImperialArmy4Name,,GenderFemale,$FF,,,,,,,,,,,,,,MendStaff,NoItem,NoItem,
Riedel,,,UnitTypeHoly,65,12,4,12,13,12,6,15,Paladin,28,4,0,$0174,RiedelName,$81,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1FollowUp,UnitSkill2Critical,None,None,None,BraveSword,PowerRing,NoItem,
,,RiedelSquad1,UnitTypeEnemy,,,,,,,,,BowKnight,22,0,,$0175,RiedelSquad1Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBow,SpeedRing,NoItem,
,,RiedelSquad2,UnitTypeEnemy,,,,,,,,,GreatKnight,22,0,,$0176,RiedelSquad2Name,,Genderless,$FF,,,,,,,,,,,,,,SilverAxe,SpeedRing,NoItem,
,,RiedelSquad3,UnitTypeEnemy,,,,,,,,,MageKnight,22,0,,$0177,RiedelSquad3Name,,Genderless,$FF,,,,,,,,,,,,,,Elthunder,SpeedRing,NoItem,
,,RiedelSquad4,UnitTypeEnemy,,,,,,,,,Banneret,22,0,,$0178,RiedelSquad4Name,,Genderless,$FF,,,,,,,,,,,,,,SilverLance,SpeedRing,NoItem,
,,RiedelSquad5,UnitTypeEnemy,,,,,,,,,Troubadour,16,0,,$0179,RiedelSquad5Name,,Genderless,$FF,,,,,,,,,,,,,,MendStaff,SpeedRing,NoItem,
,,Morrigan,UnitTypeEnemy,,,,,,,,,DarkBishop,25,2,,$017A,MorriganName,,Genderless,$FF,,,,,,,,,,,,,,Fenrir,Jormungandr,NoItem,
,,DarkMage1,UnitTypeEnemy,,,,,,,,,DarkMage,17,0,,$017B,DarkMage1Name,,Genderless,$FF,,,,,,,,,,,,,,Hel,NoItem,NoItem,
,,Pirate12,UnitTypeEnemy,,,,,,,,,Pirate,25,1,,$017C,Pirate12Name,,Genderless,$FF,,,,,,,,,,,,,,SteelAxe,NoItem,NoItem,
Hilda1,,,UnitTypeHoly,70,7,15,11,12,9,15,5,Queen,27,3,0,$017D,Hilda1Name,$81,GenderFemale,$00,0,0,0,0,0,0,0,0,UnitSkill1FollowUp,None,None,SecondaryFjalarAncestry,None,Bolganone,SpeedRing,PI_Bolganone,
,,DarkBishop1,UnitTypeEnemy,,,,,,,,,DarkBishop,24,2,,$017E,DarkBishop1Name,,Genderless,$FF,,,,,,,,,,,,,,Fortify,NoItem,PI_BarrierRing1,
,,DarkMage2,UnitTypeEnemy,,,,,,,,,DarkMage,19,0,,$017F,DarkMage2Name,,Genderless,$FF,,,,,,,,,,,,,,Jormungandr,NoItem,NoItem,
,,DarkMage3,UnitTypeEnemy,,,,,,,,,DarkMage,19,0,,$0180,DarkMage3Name,,Genderless,$FF,,,,,,,,,,,,,,Hel,NoItem,NoItem,
,,Mercenary12,UnitTypeEnemy,,,,,,,,,Forester,21,0,,$0181,Mercenary12Name,,Genderless,$FF,,,,,,,,,,,,,,SilverSword,NoItem,NoItem,
,,Mercenary13,UnitTypeEnemy,,,,,,,,,Sniper,21,0,,$0182,Mercenary13Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBow,NoItem,NoItem,
,,Child2,UnitTypeEnemy,,,,,,,,,Child,1,0,,$0183,Child2Name,,GenderMale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Child3,UnitTypeEnemy,,,,,,,,,Child,1,0,,$0184,Child3Name,,GenderFemale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Zagam,UnitTypeEnemy,,,,,,,,,DarkBishop,27,2,,$0185,ZagamName,,Genderless,$FF,,,,,,,,,,,,,,Fortify,Jormungandr,NoItem,
,,DarkMage4,UnitTypeEnemy,,,,,,,,,DarkMage,22,1,,$0186,DarkMage4Name,,Genderless,$FF,,,,,,,,,,,,,,Jormungandr,NoItem,NoItem,
,,DarkMage5,UnitTypeEnemy,,,,,,,,,DarkMage,22,1,,$0187,DarkMage5Name,,Genderless,$FF,,,,,,,,,,,,,,Hel,NoItem,NoItem,
,,DarkMage6,UnitTypeEnemy,,,,,,,,,DarkMage,22,1,,$0188,DarkMage6Name,,Genderless,$FF,,,,,,,,,,,,,,SleepStaff,NoItem,NoItem,
,,DarkMage7,UnitTypeEnemy,,,,,,,,,DarkMage,22,1,,$0189,DarkMage7Name,,Genderless,$FF,,,,,,,,,,,,,,Fenrir,NoItem,NoItem,
,,DarkMage8,UnitTypeEnemy,,,,,,,,,DarkMage,22,1,,$018A,DarkMage8Name,,Genderless,$FF,,,,,,,,,,,,,,PhysicStaff,NoItem,NoItem,
,,Mercenary14,UnitTypeEnemy,,,,,,,,,Forester,22,1,,$018B,Mercenary14Name,,Genderless,$FF,,,,,,,,,,,,,,SilverSword,NoItem,NoItem,
,,Mercenary15,UnitTypeEnemy,,,,,,,,,Sniper,22,1,,$018C,Mercenary15Name,,Genderless,$FF,,,,,,,,,,,,,,SilverBow,NoItem,NoItem,
,,Mercenary16,UnitTypeEnemy,,,,,,,,,Warrior,22,1,,$018D,Mercenary16Name,,Genderless,$FF,,,,,,,,,,,,,,SilverAxe,NoItem,NoItem,
Julius,,,UnitTypeHoly,80,15,15,15,15,15,15,13,DarkPrince,30,5,0,$018E,Julius1Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1Wrath | UnitSkill1FollowUp,UnitSkill2Onslaught,None,SecondaryFjalarAncestry,PrimaryLoptousAncestry,Loptous,LegRing,PI_LegRing,
Ishtar2,,,UnitTypeHoly,50,5,13,12,15,7,14,13,Sage,27,5,0,$018F,Ishtar2Name,$82,GenderFemale,$00,0,0,0,0,0,0,0,0,None,UnitSkill2Vantage,None,None,PrimaryThrudAncestry,Mjolnir,BarrierRing,PI_HealBracelet2,
Arvis3,,,UnitTypeHoly,80,12,15,15,15,15,15,4,Emperor,30,5,0,$0190,Arvis3Name,$81,GenderMale,$00,0,0,0,0,0,0,0,0,UnitSkill1Nihil,None,None,PrimaryFjalarAncestry,SecondaryLoptousAncestry,Valflame,SilverBlade,NoItem,
,,Rotritter5,UnitTypeEnemy,,,,,,,,,FireMage,25,0,,$0191,Rotritter5Name,,Genderless,$FF,,,,,,,,,,,,,,Meteor,Elfire,NoItem,
,,Rotritter6,UnitTypeEnemy,,,,,,,,,HighPriest,25,0,,$0192,Rotritter6Name,,Genderless,$FF,,,,,,,,,,,,,,Fortify,NoItem,NoItem,
,,Rotritter7,UnitTypeEnemy,,,,,,,,,FireMage,25,0,,$0193,Rotritter7Name,,Genderless,$FF,,,,,,,,,,,,,,Meteor,Elfire,NoItem,
,,DarkMage9,UnitTypeEnemy,,,,,,,,,DarkMage,15,1,,$0194,DarkMage9Name,,Genderless,$FF,,,,,,,,,,,,,,Jormungandr,NoItem,NoItem,
,,Polemarch,UnitTypeEnemy,,,,,,,,,Bishop,20,1,,$0195,PolemarchName,,Genderless,$FF,,,,,,,,,,,,,,MendStaff,NoItem,NoItem,
,,Child4,UnitTypeEnemy,,,,,,,,,Child,1,0,,$0196,Child4Name,,GenderMale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
,,Child5,UnitTypeEnemy,,,,,,,,,Child,1,0,,$0197,Child5Name,,GenderFemale,$FF,,,,,,,,,,,,,,NoItem,NoItem,NoItem,
